Farm,Subdirectory,File,Day,Latitude,Longitude
Arlington,P1,DJI_20231007095256_0002_D.JPG,20231007,43.30248647222222,-89.33275461111111
Arlington,P2,DJI_20231007095357_0009_D.JPG,20231007,43.30247872222222,-89.33199213888888
Arlington,P3,DJI_20231007095450_0015_D.JPG,20231007,43.30247680555555,-89.33134413888888
Arlington,P4,DJI_20231007100048_0056_D.JPG,20231007,43.30200844444444,-89.33131877777777
Arlington,P5,DJI_20231007101016_0121_D.JPG,20231007,43.30153830555555,-89.33137883333333
Arlington,P6,DJI_20231007100924_0115_D.JPG,20231007,43.30154458333333,-89.33203022222222
Arlington,P7,DJI_20231007100141_0062_D.JPG,20231007,43.30201616666666,-89.3319698611111
Arlington,P8,DJI_20231007100242_0069_D.JPG,20231007,43.30202552777777,-89.33273166666666
Arlington,P9,DJI_20231007100831_0109_D.JPG,20231007,43.30155430555556,-89.33268241666666
Curt,P1,DJI_20231006123037_0003_D.JPG,20231006,44.55384622222222,-90.1421437777778
Curt,P2,DJI_20231006124217_0083_D.JPG,20231006,44.554317472222216,-90.14217658333334
Curt,P3,DJI_20231006124133_0078_D.JPG,20231006,44.55431125,-90.14274227777778
Curt,P4,DJI_20231006123130_0009_D.JPG,20231006,44.55383938888889,-90.14280477777778
Curt,P5,DJI_20231006123214_0014_D.JPG,20231006,44.55383275,-90.14335658333334
Curt,P6,DJI_20231006124041_0072_D.JPG,20231006,44.55430305555555,-90.14340594444444
Curt,P7,DJI_20231006123948_0066_D.JPG,20231006,44.55429005555556,-90.14409619444446
Curt,P8,DJI_20231006123257_0019_D.JPG,20231006,44.553823638888886,-90.14390666666668
Danielle,P1,DJI_20230928155233_0002_D.JPG,20230928,44.61590202777778,-90.13975808333332
Danielle,P2,DJI_20230928160430_0084_D.JPG,20230928,44.61543383333333,-90.13973425
Danielle,P3,DJI_20230928161130_0132_D.JPG,20230928,44.61496186111111,-90.13961005555556
Danielle,P4,DJI_20230928161213_0137_D.JPG,20230928,44.61496175,-90.13905783333334
Danielle,P5,DJI_20230928161306_0143_D.JPG,20230928,44.61496261111111,-90.13839494444446
Danielle,P6,DJI_20230928160254_0073_D.JPG,20230928,44.61543480555556,-90.1385168888889
Danielle,P7,DJI_20230928160346_0079_D.JPG,20230928,44.615434944444445,-90.13918211111113
Danielle,P8,DJI_20230928155325_0008_D.JPG,20230928,44.615902166666665,-90.13909544444444
Danielle,P9,DJI_20230928155418_0014_D.JPG,20230928,44.61590416666667,-90.13843411111112
Doug,P1,DJI_20231002100532_0001_D.JPG,20231002,44.749032194444446,-90.08106938888888
Doug,P2,DJI_20231002100616_0006_D.JPG,20231002,44.74942575,-90.08106947222224
Doug,P3,DJI_20231002100708_0012_D.JPG,20231002,44.74989613888889,-90.08107219444445
Doug,P4,DJI_20231002101104_0039_D.JPG,20231002,44.749935416666666,-90.08162888888889
Doug,P5,DJI_20231002101813_0088_D.JPG,20231002,44.74988625,-90.08239708333332
Doug,P6,DJI_20231002101729_0083_D.JPG,20231002,44.74949311111112,-90.08239616666668
Doug,P7,DJI_20230929111108_0046_D.JPG,20230929,44.49149325,-90.18358672222224
Doug,P8,DJI_20231002101249_0051_D.JPG,20231002,44.74905622222222,-90.08176869444443
Doug,P9,DJI_20231002101636_0077_D.JPG,20231002,44.74905869444444,-90.08229563888888
Hank,P1,DJI_20231012095606_0002_D.JPG,20231012,44.85968380555556,-90.05609130555555
Hank,P2,DJI_20231012095641_0006_D.JPG,20231012,44.85936869444445,-90.05607161111111
